ds,y
2017-08-25,108
2017-08-26,89
2017-08-27,124
2017-08-28,151
2017-08-29,117
2017-08-30,170
2017-08-31,132
2017-09-01,151
2017-09-02,106
2017-09-03,96
2017-09-04,128
2017-09-05,174
2017-09-06,118
2017-09-07,82
2017-09-08,101
2017-09-09,91
2017-09-10,126
2017-09-11,147
2017-09-12,203
2017-09-13,165
2017-09-14,169
2017-09-15,126
2017-09-16,113
2017-09-17,119
2017-09-18,199
2017-09-19,145
2017-09-20,150
2017-09-21,144
2017-09-22,123
2017-09-23,91
2017-09-24,102
2017-09-25,115
2017-09-26,165
2017-09-27,138
2017-09-28,134
2017-09-29,111
2017-09-30,94
2017-10-01,110
2017-10-02,130
2017-10-03,182
2017-10-04,137
2017-10-05,135
2017-10-06,141
2017-10-07,88
2017-10-08,118
2017-10-09,176
2017-10-10,160
2017-10-11,135
2017-10-12,113
2017-10-13,141
2017-10-14,92
2017-10-15,109
2017-10-16,167
2017-10-17,217
2017-10-18,192
2017-10-19,155
2017-10-20,93
2017-10-21,106
2017-10-22,146
2017-10-23,158
2017-10-24,153
2017-10-25,131
2017-10-26,139
2017-10-27,109
2017-10-28,84
2017-10-29,140
2017-10-30,139
2017-10-31,145
2017-11-01,114
2017-11-02,103
2017-11-03,143
2017-11-04,106
2017-11-05,135
2017-11-06,149
2017-11-07,141
2017-11-08,152
2017-11-09,158
2017-11-10,162
2017-11-11,131
2017-11-12,133
2017-11-13,186
2017-11-14,173
2017-11-15,177
2017-11-16,232
2017-11-17,175
2017-11-18,141
2017-11-19,135
2017-11-20,181
2017-11-21,190
2017-11-22,188
2017-11-23,273
2017-11-24,1074
2017-11-25,466
2017-11-26,347
2017-11-27,374
2017-11-28,348
2017-11-29,291
2017-11-30,233
2017-12-01,278
2017-12-02,184
2017-12-03,205
2017-12-04,269
2017-12-05,248
2017-12-06,253
2017-12-07,181
2017-12-08,183
2017-12-09,126
2017-12-10,174
2017-12-11,227
2017-12-12,228
2017-12-13,212
2017-12-14,163
2017-12-15,152
2017-12-16,123
2017-12-17,129
2017-12-18,180
2017-12-19,162
2017-12-20,162
2017-12-21,127
2017-12-22,98
2017-12-23,94
2017-12-24,50
2017-12-25,90
2017-12-26,153
2017-12-27,136
2017-12-28,110
2017-12-29,127
2017-12-30,88
2017-12-31,64
2018-01-01,57
2018-01-02,193
2018-01-03,181
2018-01-04,240
2018-01-05,194
2018-01-06,193
2018-01-07,160
2018-01-08,246
2018-01-09,215
2018-01-10,227
2018-01-11,263
2018-01-12,244
2018-01-13,195
2018-01-14,204
2018-01-15,268
2018-01-16,283
2018-01-17,240
2018-01-18,216
2018-01-19,203
2018-01-20,154
2018-01-21,176
2018-01-22,276
2018-01-23,257
2018-01-24,215
2018-01-25,223
2018-01-26,199
2018-01-27,135
2018-01-28,129
2018-01-29,203
2018-01-30,232
2018-01-31,214
2018-02-01,223
2018-02-02,196
2018-02-03,161
2018-02-04,175
2018-02-05,242
2018-02-06,248
2018-02-07,225
2018-02-08,185
2018-02-09,171
2018-02-10,139
2018-02-11,158
2018-02-12,186
2018-02-13,200
2018-02-14,285
2018-02-15,231
2018-02-16,198
2018-02-17,172
2018-02-18,194
2018-02-19,227
2018-02-20,238
2018-02-21,244
2018-02-22,287
2018-02-23,222
2018-02-24,161
2018-02-25,213
2018-02-26,248
2018-02-27,308
2018-02-28,274
2018-03-01,239
2018-03-02,244
2018-03-03,173
2018-03-04,182
2018-03-05,255
2018-03-06,242
2018-03-07,224
2018-03-08,227
2018-03-09,166
2018-03-10,173
2018-03-11,196
2018-03-12,192
2018-03-13,216
2018-03-14,178
2018-03-15,245
2018-03-16,243
2018-03-17,143
2018-03-18,182
2018-03-19,271
2018-03-20,290
2018-03-21,263
2018-03-22,234
2018-03-23,192
2018-03-24,155
2018-03-25,178
2018-03-26,269
2018-03-27,233
2018-03-28,195
2018-03-29,183
2018-03-30,159
2018-03-31,146
2018-04-01,174
2018-04-02,253
2018-04-03,213
2018-04-04,207
2018-04-05,235
2018-04-06,165
2018-04-07,146
2018-04-08,160
2018-04-09,218
2018-04-10,185
2018-04-11,264
2018-04-12,214
2018-04-13,210
2018-04-14,135
2018-04-15,207
2018-04-16,257
2018-04-17,236
2018-04-18,235
2018-04-19,284
2018-04-20,166
2018-04-21,120
2018-04-22,181
2018-04-23,263
2018-04-24,249
2018-04-25,239
2018-04-26,231
2018-04-27,226
2018-04-28,129
2018-04-29,135
2018-04-30,250
2018-05-01,243
2018-05-02,273
2018-05-03,287
2018-05-04,233
2018-05-05,162
2018-05-06,167
2018-05-07,313
2018-05-08,296
2018-05-09,297
2018-05-10,260
2018-05-11,230
2018-05-12,194
2018-05-13,195
2018-05-14,313
2018-05-15,315
2018-05-16,286
2018-05-17,199
2018-05-18,226
2018-05-19,137
2018-05-20,140
2018-05-21,176
2018-05-22,194
2018-05-23,129
2018-05-24,100
2018-05-25,107
2018-05-26,84
2018-05-27,95
2018-05-28,127
2018-05-29,129
2018-05-30,124
2018-05-31,112
2018-06-01,168
2018-06-02,119
2018-06-03,194
2018-06-04,208
2018-06-05,174
2018-06-06,209
2018-06-07,216
2018-06-08,185
2018-06-09,142
2018-06-10,189
2018-06-11,250
2018-06-12,230
2018-06-13,212
2018-06-14,189
2018-06-15,161
2018-06-16,137
2018-06-17,131
2018-06-18,218
2018-06-19,192
2018-06-20,211
2018-06-21,213
2018-06-22,151
2018-06-23,140
2018-06-24,168
2018-06-25,213
2018-06-26,241
2018-06-27,183
2018-06-28,214
2018-06-29,148
2018-06-30,99
2018-07-01,143
2018-07-02,159
2018-07-03,182
2018-07-04,236
2018-07-05,168
2018-07-06,106
2018-07-07,80
2018-07-08,100
2018-07-09,120
2018-07-10,108
2018-07-11,109
2018-07-12,96
2018-07-13,138
2018-07-14,117
2018-07-15,118
2018-07-16,187
2018-07-17,188
2018-07-18,268
2018-07-19,236
2018-07-20,211
2018-07-21,166
2018-07-22,189
2018-07-23,284
2018-07-24,227
2018-07-25,232
2018-07-26,233
2018-07-27,177
2018-07-28,146
2018-07-29,161
2018-07-30,251
2018-07-31,259
2018-08-01,274
2018-08-02,233
2018-08-03,266
2018-08-04,207
2018-08-05,227
2018-08-06,332
2018-08-07,334
2018-08-08,306
2018-08-09,261
2018-08-10,205
2018-08-11,157
