ds,actual,yhat,yhat_lower,yhat_upper
2016-09-04,2.0,0.0,0.0,2.615014360064001
2016-09-05,0.0,0.0,0.0,42.986992964578675
2016-09-06,0.0,0.0,0.0,51.333561943583526
2016-09-07,0.0,0.0,0.0,42.20878237641119
2016-09-08,0.0,0.0,0.0,43.777090440510605
2016-09-09,0.0,0.0,0.0,34.382045952097975
2016-09-10,0.0,0.0,0.0,12.15327666820122
2016-09-11,0.0,0.0,0.0,23.51577697999137
2016-09-12,0.0,2.234818843510342,0.0,65.25296288325987
2016-09-13,0.0,7.525480759216356,0.0,70.43360752387592
2016-09-14,0.0,3.2764949741724525,0.0,65.06105964737793
2016-09-15,0.0,0.8190685208999202,0.0,62.23369538264562
2016-09-16,0.0,0.0,0.0,59.98184652320003
2016-09-17,0.0,0.0,0.0,30.52958696790538
2016-09-18,0.0,0.0,0.0,39.7997112953629
2016-09-19,0.0,14.999329057849767,0.0,74.71493867113035
2016-09-20,0.0,18.380331285410197,0.0,77.78415988415696
2016-09-21,0.0,12.195764206466473,0.0,72.0113099001416
2016-09-22,0.0,7.831440902859943,0.0,71.95883000112684
2016-09-23,0.0,1.2522878449734662,0.0,55.72794254291923
2016-09-24,0.0,0.0,0.0,34.447761920965085
2016-09-25,0.0,0.0,0.0,36.30796114474418
2016-09-26,0.0,15.593565611016405,0.0,79.84612824960757
2016-09-27,0.0,17.845072592080427,0.0,80.92037334088363
2016-09-28,0.0,10.762464295483008,0.0,68.49782547725196
2016-09-29,0.0,5.737259595414329,0.0,66.16180574864684
2016-09-30,0.0,0.0,0.0,58.3036355265541
2016-10-01,0.0,0.0,0.0,30.507200468848698
2016-10-02,0.0,0.0,0.0,36.8565126913933
2016-10-03,7.0,13.048373701882843,0.0,76.03951153187269
2016-10-04,54.0,15.625519539251997,0.0,78.65791364440604
2016-10-05,45.0,8.979211742826232,0.0,70.40952733116734
2016-10-06,44.0,4.461573150886432,0.0,66.78259527815825
2016-10-07,37.0,0.0,0.0,58.92937851078657
2016-10-08,37.0,0.0,0.0,27.33704363224794
2016-10-09,22.0,0.0,0.0,38.85873041828485
2016-10-10,32.0,13.69613911493232,0.0,76.69876451409861
2016-10-11,0.0,16.53552429284846,0.0,75.50310527079486
2016-10-12,0.0,10.000335761842265,0.0,72.48715316833776
2016-10-13,0.0,5.420903682952638,0.0,67.67075455763838
2016-10-14,0.0,0.0,0.0,63.357212018338636
2016-10-15,0.0,0.0,0.0,26.855986779844198
2016-10-16,0.0,0.0,0.0,38.27403173633109
2016-10-17,0.0,12.51250049768899,0.0,71.7892295363068
2016-10-18,0.0,14.37372243833875,0.0,77.48967888073103
2016-10-19,0.0,6.725425168586039,0.0,68.70403150386203
2016-10-20,0.0,0.9325851784116868,0.0,66.47019533813003
2016-10-21,0.0,0.0,0.0,54.54691153866362
2016-10-22,0.0,0.0,0.0,22.166881364834722
2016-10-23,0.0,0.0,0.0,28.390151057369618
2016-10-24,0.0,3.064700190796863,0.0,61.69875537719972
2016-10-25,0.0,3.9165416914752136,0.0,65.75725977537222
2016-10-26,0.0,0.0,0.0,55.41828911122561
2016-10-27,0.0,0.0,0.0,47.764583507729185
2016-10-28,0.0,0.0,0.0,36.55230950618724
2016-10-29,0.0,0.0,0.0,8.797020229214906
2016-10-30,0.0,0.0,0.0,19.268544626867598
2016-10-31,0.0,0.0,0.0,53.38898214192652
2016-11-01,0.0,0.0,0.0,53.679767436291705
2016-11-02,0.0,0.0,0.0,47.45502284303309
2016-11-03,0.0,0.0,0.0,46.719968630452364
2016-11-04,0.0,0.0,0.0,41.75233597466503
2016-11-05,0.0,0.0,0.0,6.023090620855053
2016-11-06,0.0,0.0,0.0,21.626525550675805
2016-11-07,0.0,0.0,0.0,54.28808321019396
2016-11-08,0.0,4.420091747029998,0.0,62.16147410453629
